"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Pardirallus sanguinolentus";"Pardirallus sanguinolentus";"GRUIFORMES";"Rallidae";"Plumbeous Rail";"Pardirallus sanguinolentus"
"Hemicircus concretus";"Hemicircus concretus";"PICIFORMES";"Picidae";"Red-crested Woodpecker";"Hemicircus concretus"
"Parus hudsonicus";"Poecile hudsonicus";"PASSERIFORMES";"Paridae";"Boreal Chickadee";"Poecile hudsonicus"
"Hylocharis grayi";"Chrysuronia grayi";"CAPRIMULGIFORMES";"Trochilidae";"Gray's Hummingbird";"Chrysuronia grayi"
"Elaenia fallax";"Elaenia fallax";"PASSERIFORMES";"Tyrannidae";"Large Jamaican Elaenia";"Elaenia fallax"
"Cossypha anomala";"Dessonornis anomalus";"PASSERIFORMES";"Muscicapidae";"Olive-flanked Robin-chat";"Dessonornis anomalus"
"Meliphaga gracilis";"Microptilotis gracilis";"PASSERIFORMES";"Meliphagidae";"Graceful Honeyeater";"Meliphaga gracilis"
"Phylidonyris novaehollandiae";"Phylidonyris novaehollandiae";"PASSERIFORMES";"Meliphagidae";"New Holland Honeyeater";"Phylidonyris novaehollandiae"
"Lalage melanoleuca";"Lalage melanoleuca";"PASSERIFORMES";"Campephagidae";"Northern Black-and-white Triller";"Lalage melanoleuca"
"Rallus caerulescens";"Rallus caerulescens";"GRUIFORMES";"Rallidae";"African Rail";"Rallus caerulescens"
"Nectarinia johannae";"Cinnyris johannae";"PASSERIFORMES";"Nectariniidae";"Johanna's Sunbird";"Cinnyris johannae"
"Nectarinia bocagii";"Nectarinia bocagii";"PASSERIFORMES";"Nectariniidae";"Bocage's Sunbird";"Nectarinia bocagii"
"Veniliornis maculifrons";"Veniliornis maculifrons";"PICIFORMES";"Picidae";"Yellow-eared Woodpecker";"Dryobates maculifrons"
"Anomalospiza imberbis";"Anomalospiza imberbis";"PASSERIFORMES";"Viduidae";"Cuckoo-finch";"Anomalospiza imberbis"
"Apalis chariessa";"Apalis chariessa";"PASSERIFORMES";"Cisticolidae";"White-winged Apalis";"Apalis chariessa"
"Serpophaga cinerea";"Serpophaga cinerea";"PASSERIFORMES";"Tyrannidae";"Torrent Tyrannulet";"Serpophaga cinerea"
"Junco phaeonotus";"Junco phaeonotus";"PASSERIFORMES";"Passerellidae";"Yellow-eyed Junco";"Junco phaeonotus"
"Thryothorus ludovicianus";"Thryothorus ludovicianus";"PASSERIFORMES";"Troglodytidae";"Carolina Wren";"Thryothorus ludovicianus"
"Basileuterus hypoleucus";"Basileuterus hypoleucus";"PASSERIFORMES";"Parulidae";"White-bellied Warbler";"Basileuterus culicivorus"
"Mimus patagonicus";"Mimus patagonicus";"PASSERIFORMES";"Mimidae";"Patagonian Mockingbird";"Mimus patagonicus"
"Asthenes baeri";"Asthenes baeri";"PASSERIFORMES";"Furnariidae";"Short-billed Canastero";"Asthenes baeri"
"Tityra semifasciata";"Tityra semifasciata";"PASSERIFORMES";"Tityridae";"Masked Tityra";"Tityra semifasciata"
"Petroica macrocephala";"Petroica macrocephala";"PASSERIFORMES";"Petroicidae";"New Zealand Tomtit";"Petroica macrocephala"
"Perisoreus canadensis";"Perisoreus canadensis";"PASSERIFORMES";"Corvidae";"Canada Jay";"Perisoreus canadensis"
"Centropus bengalensis";"Centropus bengalensis";"CUCULIFORMES";"Cuculidae";"Lesser Coucal";"Centropus bengalensis"
"Amazona viridigenalis";"Amazona viridigenalis";"PSITTACIFORMES";"Psittacidae";"Red-crowned Amazon";"Amazona viridigenalis"
"Pyrrhula aurantiaca";"Pyrrhula aurantiaca";"PASSERIFORMES";"Fringillidae";"Orange Bullfinch";"Pyrrhula aurantiaca"
"Cacomantis variolosus";"Cacomantis variolosus";"CUCULIFORMES";"Cuculidae";"Brush Cuckoo";"Cacomantis variolosus"
"Paradoxornis davidianus";"Suthora davidiana";"PASSERIFORMES";"Paradoxornithidae";"Short-tailed Parrotbill";"Suthora davidiana"
"Scytalopus magellanicus";"Scytalopus magellanicus";"PASSERIFORMES";"Rhinocryptidae";"Magellanic Tapaculo";"Scytalopus magellanicus"
"Dicaeum haematostictum";"Dicaeum haematostictum";"PASSERIFORMES";"Dicaeidae";"Black-belted Flowerpecker";"Dicaeum haematostictum"
"Myophonus horsfieldii";"Myophonus horsfieldii";"PASSERIFORMES";"Muscicapidae";"Malabar Whistling-thrush";"Myophonus horsfieldii"
"Prunella modularis";"Prunella modularis";"PASSERIFORMES";"Prunellidae";"Dunnock";"Prunella modularis"
"Arremon taciturnus";"Arremon taciturnus";"PASSERIFORMES";"Passerellidae";"Pectoral Sparrow";"Arremon taciturnus"
"Turdoides rubiginosa";"Argya rubiginosa";"PASSERIFORMES";"Leiothrichidae";"Rufous Chatterer";"Argya rubiginosa"
"Bleda canicapillus";"Bleda canicapillus";"PASSERIFORMES";"Pycnonotidae";"Grey-headed Bristlebill";"Bleda canicapillus"
"Pomatostomus temporalis";"Pomatostomus temporalis";"PASSERIFORMES";"Pomatostomidae";"Grey-crowned Babbler";"Pomatostomus temporalis"
"Phacellodomus dorsalis";"Phacellodomus dorsalis";"PASSERIFORMES";"Furnariidae";"Chestnut-backed Thornbird";"Phacellodomus dorsalis"
"Paradoxornis alphonsianus";"Suthora alphonsiana";"PASSERIFORMES";"Paradoxornithidae";"Ashy-throated Parrotbill";"Suthora alphonsiana"
"Carduelis ambigua";"Chloris ambigua";"PASSERIFORMES";"Fringillidae";"Black-headed Greenfinch";"Chloris ambigua"
"Garrulax sannio";"Pterorhinus sannio";"PASSERIFORMES";"Leiothrichidae";"White-browed Laughingthrush";"Pterorhinus sannio"
"Picumnus olivaceus";"Picumnus olivaceus";"PICIFORMES";"Picidae";"Olivaceous Piculet";"Picumnus olivaceus"
"Lochmias nematura";"Lochmias nematura";"PASSERIFORMES";"Furnariidae";"Streamcreeper";"Lochmias nematura"
"Pionites melanocephalus";"Pionites melanocephalus";"PSITTACIFORMES";"Psittacidae";"Black-headed Parrot";"Pionites melanocephalus"
"Merops muelleri";"Merops muelleri";"CORACIIFORMES";"Meropidae";"Blue-headed Bee-eater";"Merops muelleri"
"Psittaculirostris desmarestii";"Psittaculirostris desmarestii";"PSITTACIFORMES";"Psittacidae";"Large Fig-parrot";"Cyclopsitta desmarestii"
"Megalurus palustris";"Megalurus palustris";"PASSERIFORMES";"Locustellidae";"Striated Grassbird";"Megalurus palustris"
"Sterna caspia";"Hydroprogne caspia";"CHARADRIIFORMES";"Laridae";"Caspian Tern";"Hydroprogne caspia"
"Plectorhyncha lanceolata";"Plectorhyncha lanceolata";"PASSERIFORMES";"Meliphagidae";"Striped Honeyeater";"Plectorhyncha lanceolata"
"Sterna lunata";"Onychoprion lunatus";"CHARADRIIFORMES";"Laridae";"Grey-backed Tern";"Onychoprion lunatus"
"Acrocephalus baeticatus";"Acrocephalus scirpaceus";"PASSERIFORMES";"Acrocephalidae";"Common Reed-warbler";"Acrocephalus scirpaceus"
"Dinemellia dinemelli";"Dinemellia dinemelli";"PASSERIFORMES";"Ploceidae";"White-headed Buffalo-Weaver";"Dinemellia dinemelli"
"Pygoscelis antarcticus";"Pygoscelis antarcticus";"SPHENISCIFORMES";"Spheniscidae";"Chinstrap Penguin";"Pygoscelis antarcticus"
"Laniarius leucorhynchus";"Laniarius leucorhynchus";"PASSERIFORMES";"Malaconotidae";"Lowland Sooty Boubou";"Laniarius leucorhynchus"
"Prinia maculosa";"Prinia maculosa";"PASSERIFORMES";"Cisticolidae";"Karoo Prinia";"Prinia maculosa"
"Colonia colonus";"Colonia colonus";"PASSERIFORMES";"Tyrannidae";"Long-tailed Tyrant";"Colonia colonus"
"Chionis albus";"Chionis albus";"CHARADRIIFORMES";"Chionidae";"Snowy Sheathbill";"Chionis albus"
"Morus capensis";"Morus capensis";"SULIFORMES";"Sulidae";"Cape Gannet";"Morus capensis"
"Phaethornis yaruqui";"Phaethornis yaruqui";"CAPRIMULGIFORMES";"Trochilidae";"White-whiskered Hermit";"Phaethornis yaruqui"
"Celeus undatus";"Celeus undatus";"PICIFORMES";"Picidae";"Waved Woodpecker";"Celeus undatus"
"Myzomela rosenbergii";"Myzomela rosenbergii";"PASSERIFORMES";"Meliphagidae";"Red-collared Myzomela";"Myzomela rosenbergii"
"Ploceus rubiginosus";"Ploceus rubiginosus";"PASSERIFORMES";"Ploceidae";"Chestnut Weaver";"Ploceus rubiginosus"
"Nectarinia mariquensis";"Cinnyris mariquensis";"PASSERIFORMES";"Nectariniidae";"Marico Sunbird";"Cinnyris mariquensis"
"Melierax canorus";"Melierax canorus";"ACCIPITRIFORMES";"Accipitridae";"Pale Chanting-goshawk";"Melierax canorus"
"Ciconia boyciana";"Ciconia boyciana";"CICONIIFORMES";"Ciconiidae";"Oriental Stork";"Ciconia boyciana"
"Dicaeum sanguinolentum";"Dicaeum sanguinolentum";"PASSERIFORMES";"Dicaeidae";"Javan Flowerpecker";"Dicaeum sanguinolentum"
"Agelasticus thilius";"Agelasticus thilius";"PASSERIFORMES";"Icteridae";"Yellow-winged Blackbird";"Agelasticus thilius"
"Pytilia hypogrammica";"Pytilia hypogrammica";"PASSERIFORMES";"Estrildidae";"Yellow-winged Pytilia";"Pytilia hypogrammica"
"Stelgidopteryx ruficollis";"Stelgidopteryx ruficollis";"PASSERIFORMES";"Hirundinidae";"Southern Rough-winged Swallow";"Stelgidopteryx ruficollis"
"Lorius domicella";"Lorius domicella";"PSITTACIFORMES";"Psittacidae";"Purple-naped Lory";"Lorius domicella"
"Odontophorus stellatus";"Odontophorus stellatus";"GALLIFORMES";"Odontophoridae";"Starred Wood-quail";"Odontophorus stellatus"
"Zosterops ceylonensis";"Zosterops ceylonensis";"PASSERIFORMES";"Zosteropidae";"Sri Lanka White-eye";"Zosterops ceylonensis"
"Garrulax ruficollis";"Pterorhinus ruficollis";"PASSERIFORMES";"Leiothrichidae";"Rufous-necked Laughingthrush";"Pterorhinus ruficollis"
"Odontophorus capueira";"Odontophorus capueira";"GALLIFORMES";"Odontophoridae";"Spot-winged Wood-quail";"Odontophorus capueira"
"Zosterops rendovae";"Zosterops rendovae";"PASSERIFORMES";"Zosteropidae";"Grey-throated White-eye";"Zosterops rendovae"
"Streptopelia decipiens";"Streptopelia decipiens";"COLUMBIFORMES";"Columbidae";"Mourning Collared-dove";"Streptopelia decipiens"
"Zosterops minutus";"Zosterops minutus";"PASSERIFORMES";"Zosteropidae";"Small Lifou White-eye";"Zosterops minutus"
"Rhodothraupis celaeno";"Caryothraustes celaeno";"PASSERIFORMES";"Cardinalidae";"Crimson-collared Grosbeak";"Periporphyrus celaeno"
"Coracina melanoptera";"Lalage melanoptera";"PASSERIFORMES";"Campephagidae";"Black-headed Cuckooshrike";"Lalage melanoptera"
"Cuculus solitarius";"Cuculus solitarius";"CUCULIFORMES";"Cuculidae";"Red-chested Cuckoo";"Cuculus solitarius"
"Coturnix delegorguei";"Coturnix delegorguei";"GALLIFORMES";"Phasianidae";"Harlequin Quail";"Coturnix delegorguei"
"Lybius rolleti";"Pogonornis rolleti";"PICIFORMES";"Lybiidae";"Black-breasted Barbet";"Pogonornis rolleti"
"Anthus nilghiriensis";"Anthus nilghiriensis";"PASSERIFORMES";"Motacillidae";"Nilgiri Pipit";"Anthus nilghiriensis"
"Sterna maxima";"Thalasseus maximus";"CHARADRIIFORMES";"Laridae";"Royal Tern";"Thalasseus maximus"
"Tetrax tetrax";"Tetrax tetrax";"OTIDIFORMES";"Otididae";"Little Bustard";"Tetrax tetrax"
"Atlapetes tricolor";"Atlapetes tricolor";"PASSERIFORMES";"Passerellidae";"Tricolored Brushfinch";"Atlapetes tricolor"
"Phylidonyris pyrrhopterus";"Phylidonyris pyrrhopterus";"PASSERIFORMES";"Meliphagidae";"Crescent Honeyeater";"Phylidonyris pyrrhopterus"
"Pycnonotus goiavier";"Pycnonotus goiavier";"PASSERIFORMES";"Pycnonotidae";"Yellow-vented Bulbul";"Pycnonotus goiavier"
"Ibidorhyncha struthersii";"Ibidorhyncha struthersii";"CHARADRIIFORMES";"Ibidorhynchidae";"Ibisbill";"Ibidorhyncha struthersii"
"Erythrura pealii";"Erythrura pealii";"PASSERIFORMES";"Estrildidae";"Fiji Parrotfinch";"Erythrura pealii"
"Tyrannulus elatus";"Tyrannulus elatus";"PASSERIFORMES";"Tyrannidae";"Yellow-crowned Tyrannulet";"Tyrannulus elatus"
"Calidris maritima";"Calidris maritima";"CHARADRIIFORMES";"Scolopacidae";"Purple Sandpiper";"Calidris maritima"
"Gracula ptilogenys";"Gracula ptilogenys";"PASSERIFORMES";"Sturnidae";"Sri Lanka Hill Myna";"Gracula ptilogenys"
"Dicrurus forficatus";"Dicrurus forficatus";"PASSERIFORMES";"Dicruridae";"Crested Drongo";"Dicrurus forficatus"
"Batis fratrum";"Batis fratrum";"PASSERIFORMES";"Platysteiridae";"Woodwards' Batis";"Batis fratrum"
"Bubo philippensis";"Bubo philippensis";"STRIGIFORMES";"Strigidae";"Philippine Eagle-owl";"Ketupa philippensis"
"Xiphirhynchus superciliaris";"Pomatorhinus superciliaris";"PASSERIFORMES";"Timaliidae";"Slender-billed Scimitar-babbler";"Pomatorhinus superciliaris"
"Mimus polyglottos";"Mimus polyglottos";"PASSERIFORMES";"Mimidae";"Northern Mockingbird";"Mimus polyglottos"
"Tangara rufigula";"Tangara rufigula";"PASSERIFORMES";"Thraupidae";"Rufous-throated Tanager";"Ixothraupis rufigula"
"Parus xanthogenys";"Machlolophus xanthogenys";"PASSERIFORMES";"Paridae";"Black-lored Tit";"Machlolophus xanthogenys"
"Parus griseiventris";"Melaniparus griseiventris";"PASSERIFORMES";"Paridae";"Miombo Tit";"Melaniparus griseiventris"
"Berlepschia rikeri";"Berlepschia rikeri";"PASSERIFORMES";"Furnariidae";"Palmcreeper";"Berlepschia rikeri"
"Lepidocolaptes lacrymiger";"Lepidocolaptes lacrymiger";"PASSERIFORMES";"Furnariidae";"Montane Woodcreeper";"Lepidocolaptes lacrymiger"
"Vermivora ruficapilla";"Leiothlypis ruficapilla";"PASSERIFORMES";"Parulidae";"Nashville Warbler";"Leiothlypis ruficapilla"
"Amazilia cyanura";"Saucerottia cyanura";"CAPRIMULGIFORMES";"Trochilidae";"Blue-tailed Hummingbird";"Saucerottia cyanura"
"Diglossa carbonaria";"Diglossa carbonaria";"PASSERIFORMES";"Thraupidae";"Grey-bellied Flowerpiercer";"Diglossa carbonaria"
"Hemiprocne comata";"Hemiprocne comata";"CAPRIMULGIFORMES";"Hemiprocnidae";"Whiskered Treeswift";"Hemiprocne comata"
"Phalacrocorax ranfurlyi";"Leucocarbo ranfurlyi";"SULIFORMES";"Phalacrocoracidae";"Bounty Islands Shag";"Leucocarbo ranfurlyi"
"Tyrannus forficatus";"Tyrannus forficatus";"PASSERIFORMES";"Tyrannidae";"Scissor-tailed Flycatcher";"Tyrannus forficatus"
"Busarellus nigricollis";"Busarellus nigricollis";"ACCIPITRIFORMES";"Accipitridae";"Black-collared Hawk";"Busarellus nigricollis"
"Tangara chrysotis";"Tangara chrysotis";"PASSERIFORMES";"Thraupidae";"Golden-eared Tanager";"Tangara chrysotis"
"Tangara cyanocephala";"Tangara cyanocephala";"PASSERIFORMES";"Thraupidae";"Red-necked Tanager";"Tangara cyanocephala"
"Gallinago nobilis";"Gallinago nobilis";"CHARADRIIFORMES";"Scolopacidae";"Noble Snipe";"Gallinago nobilis"
"Eudynamys scolopaceus";"Eudynamys scolopaceus";"CUCULIFORMES";"Cuculidae";"Western Koel";"Eudynamys scolopaceus"
"Garrulax palliatus";"Garrulax palliatus";"PASSERIFORMES";"Leiothrichidae";"Sunda Laughingthrush";"Garrulax palliatus"
"Sterna albostriata";"Chlidonias albostriatus";"CHARADRIIFORMES";"Laridae";"Black-fronted Tern";"Chlidonias albostriatus"
"Leptasthenura aegithaloides";"Leptasthenura aegithaloides";"PASSERIFORMES";"Furnariidae";"Plain-mantled Tit-spinetail";"Leptasthenura aegithaloides"
"Pachyramphus versicolor";"Pachyramphus versicolor";"PASSERIFORMES";"Tityridae";"Barred Becard";"Pachyramphus versicolor"
"Epinecrophylla haematonota";"Epinecrophylla haematonota";"PASSERIFORMES";"Thamnophilidae";"Rufous-backed Stipplethroat";"Epinecrophylla haematonota"
"Aquila clanga";"Clanga clanga";"ACCIPITRIFORMES";"Accipitridae";"Greater Spotted Eagle";"Clanga clanga"
"Sicalis columbiana";"Sicalis columbiana";"PASSERIFORMES";"Thraupidae";"Orange-fronted Yellow-finch";"Sicalis columbiana"
"Chrysolophus pictus";"Chrysolophus pictus";"GALLIFORMES";"Phasianidae";"Golden Pheasant";"Chrysolophus pictus"
"Alaemon hamertoni";"Alaemon hamertoni";"PASSERIFORMES";"Alaudidae";"Lesser Hoopoe-lark";"Alaemon hamertoni"
"Yuhina flavicollis";"Yuhina flavicollis";"PASSERIFORMES";"Zosteropidae";"Whiskered Yuhina";"Yuhina flavicollis"
"Monticola explorator";"Monticola explorator";"PASSERIFORMES";"Muscicapidae";"Sentinel Rock-thrush";"Monticola explorator"
"Amaurornis flavirostra";"Zapornia flavirostra";"GRUIFORMES";"Rallidae";"Black Crake";"Zapornia flavirostra"
"Anas aucklandica";"Anas aucklandica";"ANSERIFORMES";"Anatidae";"Auckland Teal";"Anas aucklandica"
"Ptilinopus superbus";"Ptilinopus superbus";"COLUMBIFORMES";"Columbidae";"Eastern Superb Fruit-dove";"Ptilinopus superbus"
"Coeligena violifer";"Coeligena violifer";"CAPRIMULGIFORMES";"Trochilidae";"Bolivian Starfrontlet";"Coeligena violifer"
"Saxicola caprata";"Saxicola caprata";"PASSERIFORMES";"Muscicapidae";"Pied Bushchat";"Saxicola caprata"
"Caprimulgus ruficollis";"Caprimulgus ruficollis";"CAPRIMULGIFORMES";"Caprimulgidae";"Red-necked Nightjar";"Caprimulgus ruficollis"
"Phylloscopus presbytes";"Phylloscopus presbytes";"PASSERIFORMES";"Phylloscopidae";"Timor Leaf-warbler";"Phylloscopus presbytes"
"Pseudotriccus ruficeps";"Pseudotriccus ruficeps";"PASSERIFORMES";"Tyrannidae";"Rufous-headed Pygmy-tyrant";"Pseudotriccus ruficeps"
"Nigrita bicolor";"Nigrita bicolor";"PASSERIFORMES";"Estrildidae";"Chestnut-breasted Nigrita";"Nigrita bicolor"
"Ducula carola";"Ducula carola";"COLUMBIFORMES";"Columbidae";"Spotted Imperial-pigeon";"Ducula carola"
"Microparra capensis";"Microparra capensis";"CHARADRIIFORMES";"Jacanidae";"Lesser Jacana";"Microparra capensis"
"Dicaeum vulneratum";"Dicaeum vulneratum";"PASSERIFORMES";"Dicaeidae";"Ashy Flowerpecker";"Dicaeum vulneratum"
"Saxicola insignis";"Saxicola insignis";"PASSERIFORMES";"Muscicapidae";"White-throated Bushchat";"Saxicola insignis"
"Pyrrhula erythrocephala";"Pyrrhula erythrocephala";"PASSERIFORMES";"Fringillidae";"Red-headed Bullfinch";"Pyrrhula erythrocephala"
"Laniarius ferrugineus";"Laniarius ferrugineus";"PASSERIFORMES";"Malaconotidae";"Southern Boubou";"Laniarius ferrugineus"
"Psittacella modesta";"Psittacella modesta";"PSITTACIFORMES";"Psittacidae";"Modest Tiger-parrot";"Psittacella modesta"
"Sericornis spilodera";"Aethomyias spilodera";"PASSERIFORMES";"Acanthizidae";"Pale-billed Scrubwren";"Aethomyias spilodera"
"Eos reticulata";"Eos reticulata";"PSITTACIFORMES";"Psittacidae";"Blue-streaked Lory";"Trichoglossus reticulatus"
"Turdus torquatus";"Turdus torquatus";"PASSERIFORMES";"Turdidae";"Ring Ouzel";"Turdus torquatus"
"Campylorhynchus megalopterus";"Campylorhynchus megalopterus";"PASSERIFORMES";"Troglodytidae";"Grey-barred Wren";"Campylorhynchus megalopterus"
"Pyriglena leuconota";"Pyriglena leuconota";"PASSERIFORMES";"Thamnophilidae";"White-backed Fire-eye";"Pyriglena leuconota"
"Phylloscopus tytleri";"Phylloscopus tytleri";"PASSERIFORMES";"Phylloscopidae";"Tytler's Leaf-warbler";"Phylloscopus tytleri"
"Eulidia yarrellii";"Eulidia yarrellii";"CAPRIMULGIFORMES";"Trochilidae";"Chilean Woodstar";"Eulidia yarrellii"
"Tylas eduardi";"Tylas eduardi";"PASSERIFORMES";"Vangidae";"Tylas Vanga";"Tylas eduardi"
"Thlypopsis ornata";"Thlypopsis ornata";"PASSERIFORMES";"Thraupidae";"Rufous-chested Tanager";"Thlypopsis ornata"
"Cossypha polioptera";"Sheppardia polioptera";"PASSERIFORMES";"Muscicapidae";"Grey-winged Akalat";"Sheppardia polioptera"
"Pterodroma macroptera";"Pterodroma macroptera";"PROCELLARIIFORMES";"Procellariidae";"Great-winged Petrel";"Pterodroma macroptera"
"Phalacrocorax campbelli";"Leucocarbo campbelli";"SULIFORMES";"Phalacrocoracidae";"Campbell Island Shag";"Leucocarbo campbelli"
"Neocossyphus poensis";"Neocossyphus poensis";"PASSERIFORMES";"Turdidae";"White-tailed Ant-thrush";"Neocossyphus poensis"
"Cisticola rufilatus";"Cisticola rufilatus";"PASSERIFORMES";"Cisticolidae";"Tinkling Cisticola";"Cisticola rufilatus"
"Phylloscopus coronatus";"Phylloscopus coronatus";"PASSERIFORMES";"Phylloscopidae";"Eastern Crowned Warbler";"Phylloscopus coronatus"
"Myiagra oceanica";"Myiagra oceanica";"PASSERIFORMES";"Monarchidae";"Chuuk Flycatcher";"Myiagra oceanica"
"Falco zoniventris";"Falco zoniventris";"FALCONIFORMES";"Falconidae";"Banded Kestrel";"Falco zoniventris"
"Troglodytes solstitialis";"Troglodytes solstitialis";"PASSERIFORMES";"Troglodytidae";"Mountain Wren";"Troglodytes solstitialis"
"Hyliota flavigaster";"Hyliota flavigaster";"PASSERIFORMES";"Hyliotidae";"Yellow-bellied Hyliota";"Hyliota flavigaster"
"Platyrinchus coronatus";"Platyrinchus coronatus";"PASSERIFORMES";"Tyrannidae";"Golden-crowned Spadebill";"Platyrinchus coronatus"
"Seiurus noveboracensis";"Parkesia noveboracensis";"PASSERIFORMES";"Parulidae";"Northern Waterthrush";"Parkesia noveboracensis"
"Aplonis minor";"Aplonis minor";"PASSERIFORMES";"Sturnidae";"Short-tailed Starling";"Aplonis minor"
"Arses kaupi";"Arses kaupi";"PASSERIFORMES";"Monarchidae";"Pied Monarch";"Arses kaupi"
"Bubo cinerascens";"Bubo cinerascens";"STRIGIFORMES";"Strigidae";"Greyish Eagle-owl";"Bubo cinerascens"
"Ficedula parva";"Ficedula parva";"PASSERIFORMES";"Muscicapidae";"Red-breasted Flycatcher";"Ficedula parva"
"Accipiter fasciatus";"Accipiter fasciatus";"ACCIPITRIFORMES";"Accipitridae";"Brown Goshawk";"Tachyspiza fasciata"
"Dendrocopos temminckii";"Picoides temminckii";"PICIFORMES";"Picidae";"Sulawesi Pygmy Woodpecker";"Yungipicus temminckii"
"Pycnonotus urostictus";"Poliolophus urostictus";"PASSERIFORMES";"Pycnonotidae";"Yellow-wattled Bulbul";"Microtarsus urostictus"
"Irediparra gallinacea";"Irediparra gallinacea";"CHARADRIIFORMES";"Jacanidae";"Comb-crested Jacana";"Irediparra gallinacea"
"Cyanoramphus auriceps";"Cyanoramphus auriceps";"PSITTACIFORMES";"Psittacidae";"Yellow-fronted Parakeet";"Cyanoramphus auriceps"
"Euphonia rufiventris";"Euphonia rufiventris";"PASSERIFORMES";"Fringillidae";"Rufous-bellied Euphonia";"Euphonia rufiventris"
"Spheniscus magellanicus";"Spheniscus magellanicus";"SPHENISCIFORMES";"Spheniscidae";"Magellanic Penguin";"Spheniscus magellanicus"
"Cyornis rubeculoides";"Cyornis rubeculoides";"PASSERIFORMES";"Muscicapidae";"Blue-throated Blue Flycatcher";"Cyornis rubeculoides"
"Odontophorus gujanensis";"Odontophorus gujanensis";"GALLIFORMES";"Odontophoridae";"Marbled Wood-quail";"Odontophorus gujanensis"
